,START,DUR,LABEL,LABEL_NUM,DUR_TRANS
126,163.49200000000002,2.597,ADULT,-1,-2.597
127,163.97799999999998,0.462,ADULT,-1,-0.462
128,166.511,6.001,CHILD,1,6.001
129,169.012,2.0,CHILD,1,2.0
130,171.882,0.272,CHILD,1,0.272
131,172.511,4.438,ADULT,-1,-4.438
133,177.99200000000002,4.129,CHILD,1,4.129
134,178.12900000000002,0.19699999999999998,CHILD,1,0.19699999999999998
135,178.46200000000002,0.327,CHILD,1,0.327
136,181.011,0.273,CHILD,1,0.273
137,181.77900000000002,0.213,CHILD,1,0.213
138,182.01,3.4810000000000003,ADULT,-1,-3.4810000000000003
140,186.062,6.939,CHILD,1,6.939
141,186.09599999999998,0.245,CHILD,1,0.245
142,186.49200000000002,1.64,CHILD,1,1.64
143,188.24400000000003,0.11800000000000001,CHILD,1,0.11800000000000001
144,189.43,2.03,CHILD,1,2.03
146,193.229,1.264,CHILD,1,1.264
147,194.493,1.9340000000000002,ADULT,-1,-1.9340000000000002
148,195.51,1.715,ADULT,-1,-1.715
149,197.44799999999998,1.5630000000000002,CHILD,1,1.5630000000000002
150,197.449,1.561,CHILD,1,1.561
151,199.449,0.5670000000000001,ADULT,-1,-0.5670000000000001
152,199.52,1.807,CHILD,1,1.807
153,199.99200000000002,0.304,CHILD,1,0.304
154,200.51,0.7440000000000001,CHILD,1,0.7440000000000001
155,201.278,2.214,ADULT,-1,-2.214
157,204.888,0.635,ADULT,-1,-0.635
158,205.296,1.4140000000000001,CHILD,1,1.4140000000000001
159,207.92,5.09,CHILD,1,5.09
161,208.09099999999998,1.902,CHILD,1,1.902
162,212.011,1.32,CHILD,1,1.32
164,214.572,1.939,ADULT,-1,-1.939
165,216.72099999999998,0.687,CHILD,1,0.687
166,217.239,2.3169999999999997,ADULT,-1,-2.3169999999999997
167,219.993,0.37799999999999995,CHILD,1,0.37799999999999995
168,220.074,0.35100000000000003,CHILD,1,0.35100000000000003
169,220.65400000000002,0.7709999999999999,CHILD,1,0.7709999999999999
170,220.782,0.71,CHILD,1,0.71
171,221.665,1.9340000000000002,CHILD,1,1.9340000000000002
172,222.148,0.23600000000000002,CHILD,1,0.23600000000000002
173,223.511,3.517,ADULT,-1,-3.517
174,227.011,2.489,CHILD,1,2.489
175,227.343,2.668,CHILD,1,2.668
176,230.99200000000002,1.011,CHILD,1,1.011
177,232.84799999999998,3.2939999999999996,ADULT,-1,-3.2939999999999996
178,236.269,1.2229999999999999,CHILD,1,1.2229999999999999
179,236.378,1.1740000000000002,CHILD,1,1.1740000000000002
180,237.59799999999998,0.7240000000000001,ADULT,-1,-0.7240000000000001
181,237.673,0.159,ADULT,-1,-0.159
183,239.023,2.97,CHILD,1,2.97
184,241.01,0.764,CHILD,1,0.764
185,241.993,2.762,CHILD,1,2.762
